Monitoring Date,Monitor Name,Plot ID,Species,Caged_Uncaged,Treated_Untreated,Number of Seedlings,% Flowering,% Seeding,Vigor,Evidence of Herbivory?,Type of Herbivory,Notes,% Coverage Ruderal Species,
2020/05/28,Sophia,1.1a,CaMe,Caged,Untreated,0,,,,,,,0,
2020/05/28,Sophia,1.1a,LuSu,Caged,Treated,8,,,,,,,0,
2020/05/28,Sophia,1.1b,LuSu,Uncaged,Treated,5,,,,,,,10,
2020/05/28,Sophia,1.1b,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.1c,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.1c,LuSu,Uncaged,Untreated,6,,,,,,,10,
2020/05/28,Sophia,1.1d,CaMe,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,1.1d,LuSu,Caged,Untreated,3,,,,,,,20,
2020/05/28,Sophia,1.2a,AcSt,Caged,Untreated,60,,,,,,,5,
2020/05/28,Sophia,1.2a,SiBe,Caged,Treated,0,,,,,,,5,
2020/05/28,Sophia,1.2a,CaDe,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2b,AcSt,Uncaged,Untreated,23,,,,,,,10,
2020/05/28,Sophia,1.2b,SiBe,Uncaged,Treated,0,,,,,,,10,
2020/05/28,Sophia,1.2b,CaDe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.2c,SiBe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2c,CaDe,Uncaged,Untreated,20,,,,,,,5,
2020/05/28,Sophia,1.2c,AcSt,Uncaged,Untreated,45,,,,,,,5,
2020/05/28,Sophia,1.2d,AcSt,Caged,Untreated,32,,,,,,,5,
2020/05/28,Sophia,1.2d,SiBe,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2d,CaDe,Caged,Untreated,1,,,,,,,5,
2020/05/28,Sophia,1.3a,LuBi,Caged,Treated,1,,,,,,,10,
2020/05/28,Sophia,1.3a,NuTe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.3a,AnNu,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.3b,NuTe,Uncaged,Untreated,2,,,,,,,30,
2020/05/28,Sophia,1.3b,AnNu,Uncaged,Untreated,0,,,,,,,30,
2020/05/28,Sophia,1.3b,LuBi,Uncaged,Treated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,LuBi,Uncaged,Untreated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,NuTe,Uncaged,Untreated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,AnNu,Uncaged,Untreated,0,,,,,,,30,
2020/05/28,Sophia,1.3d,AnNu,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,1.3d,LuBi,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,1.3d,NuTe,Caged,Untreated,6,,,,,,,40,
2020/05/28,Sophia,2.1a,CaMe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.1a,LuSu,Caged,Treated,11,,,,,,,10,
2020/05/28,Sophia,2.1b,CaMe,Uncaged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.1b,LuSu,Uncaged,Treated,4,,,,,,,20,
2020/05/28,Sophia,2.1c,CaMe,Uncaged,Untreated,0,,,,,,,25,
2020/05/28,Sophia,2.1c,LuSu,Uncaged,Untreated,4,,,,,,,25,
2020/05/28,Sophia,2.1d,LuSu,Caged,Untreated,8,,,,,,,25,
2020/05/28,Sophia,2.1d,CaMe,Caged,Untreated,0,,,,,,,25,
2020/05/28,Sophia,2.2a,AcSt,Caged,Untreated,15,,,,,,,10,
2020/05/28,Sophia,2.2a,SiBe,Caged,Treated,0,,,,,,,10,
2020/05/28,Sophia,2.2a,CaDe,Caged,Untreated,21,,,,,,,10,
2020/05/28,Sophia,2.2b,AcSt,Uncaged,Untreated,24,,,,,,,10,
2020/05/28,Sophia,2.2b,SiBe,Uncaged,Treated,0,,,,,,,10,
2020/05/28,Sophia,2.2b,CaDe,Uncaged,Untreated,11,,,,,,,10,
2020/05/28,Sophia,2.2c,AcSt,Uncaged,Untreated,35,,,,,,,10,
2020/05/28,Sophia,2.2c,SiBe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2c,CaDe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2d,AcSt,Caged,Untreated,32,,,,,,,10,
2020/05/28,Sophia,2.2d,SiBe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2d,CaDe,Caged,Untreated,21,,,,,,,10,
2020/05/28,Sophia,2.3a,LuBi,Caged,Treated,1,,,,,,,20,
2020/05/28,Sophia,2.3a,AnNu,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.3a,NuTe,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.3b,LuBi,Uncaged,Treated,0,,,,,,,40,
2020/05/28,Sophia,2.3b,AnNu,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3b,NuTe,Uncaged,Untreated,1,,,,,,,40,
2020/05/28,Sophia,2.3c,LuBi,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3c,AnNu,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3c,NuTe,Uncaged,Untreated,6,,,,,,,40,
2020/05/28,Sophia,2.3d,LuBi,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3d,NuTe,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3d,AnNu,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.1a,CaMe,Caged,Untreated,0,,,,,,,0,
2020/05/28,Sophia,3.1a,LuSu,Caged,Treated,13,,,,,,,0,
